3M Electro & Communication India Pvt Ltd,3M Pimpri,NEEM,SRP,1,1.5,1,1,1
3M India Limited.,3M Banglore,NEEM,SRP,1,1.5,1,1,1
3M India Ltd,3M,EL,SRP,1,1.5,1,1,1
Aakar Foundry Pvt Ltd,Aakar,NEEM,Bridge 1,1,1,1,1,1
ABB INDIA LIMITED,ABB INDIA-Mysore,NEEM,SRP,1,1.5,1,1,1
ADVIK HI-TECH PVT LTD,Advik,NEEM,SRP,1.5,1,1,1,1.5
AEQUS AUTOMOTIVE PVT LTD,Aeques Automotive,NEEM,Franchisee,1.5,1,1,1,1
AEQUS ENGINEERED PLASTICS PVT LTD,Aeques Engg Plastic,NEEM,Franchisee,1.5,1,1,1,1
Aequs Force Consumers Products Pvt Ltd,Aequs Force,NEEM,Franchisee,1,1,1,1,1.5
AEQUS PVT LTD II,Aeques II,NEEM,Franchisee,1.5,1,1,1,1
Aequs SEZ Private Limited,Aeques SEZ 1,NEEM,Franchisee,1.5,1,1,1,1
Aequs SEZ Private Limited.,Aeques SEZ 2,NEEM,Franchisee,1.5,1,1,1,1
Aerospace Processing India Pvt Ltd,Aerospace Processing,NEEM,Franchisee,1.5,1,1,1,1
AeroStructures Manufacturing India Private limited Unit I,Aerostructures I,NEEM,Franchisee,1.5,1,1,1,1
AeroStructures Manufacturing India Private limited Unit II,Aerostructures II,NEEM,Franchisee,1.5,1,1,1,1
AISIN AUTOMOTIVE KARNATAKA PRIVATE LIMITED,Aisin,NEEM,Franchisee,1.5,1,1,1,1
ALF Engineering P Ltd,Alf Engg,NEEM,SRP,1,1.5,1,1,1.5
ALLEVARD-IAI Suspension Pvt Ltd,Allevard,NEEM,SRP,1,1.5,1,1,1.5
Aptiv Components India Pvt.Ltd,Aptiv EL,EL,SRP,1.5,1.5,1,1,1
Aptiv Components India Pvt.Ltd.,Aptiv NEEM,NEEM,SRP,1.5,1.5,1,1,1
Arka Anand Automation,Arka Anand,NEEM,SRP,1.5,1,1,1,1.5
Armacell India Pvt Ltd,Armacell,NEEM,SRP,1.5,1.5,1,1,1.5
At India Auto Parts Private Limited,At India,NEEM,Franchisee,1,1,1,1,1
Atomberg Technologies Pvt Ltd,Atomberg,NEEM,SRP,1,1.5,1,1,1.5
AUMA India Private Limited,Auma,NEEM,Franchisee,1,1,1,1,1
Autoliv India Private Limited,Autoliv Haryana,NEEM,SRP,1,1,1,1.5,1
Autoliv India Pvt Ltd,Autoliv Banglore,NEEM,Franchisee,1,1,1,1,1
Automotive Resarch Association Of India,ARAI,EL,SRP,1,1.5,1,1,1
BADVE AUTO TECH PVT LTD,Badve Auto Gujrat,NEEM,SRP,1.5,1.5,1,1,1
BADVE AUTOCOMPS PVT.LTD 3K(POLYMER DIVISION),Badve 3K Aurangabad,NEEM,SRP,1.5,1.5,1,1,1.5
Badve Engineering Limited -,Badve Engg NEEM,NEEM,SRP,1.5,1.5,1,1.5,1.5
Badve Engineering Ltd -,Badve Engg Pirangut,NEEM,SRP,1.5,1.5,1,1.5,1.5
Badve Engineering Ltd - XVI,Badve Engg 16,NEEM,SRP,1.5,1.5,1,1,1
Badve Engineering Ltd APPL,Badve APPL,NEEM,SRP,1.5,1.5,1,1,1
Badve Engineering Ltd CTPL,Badve CTPL,NEEM,SRP,1.5,1.5,1,1,1
BAYFORGE PRIVATE LIMITED,Bayforge,NEEM,OP,1,1,1,1,1
Bharat Forge Limited,Bharat Forge Baramati,NEEM,SRP,1,1.5,1,1.5,1
Bharat Forge Limited,Bharat Forge Baramati,NEEM,SRP,1,1.5,1,1.5,1
Bharat Forge Limited,Bharat Forge Baramati,NEEM,SRP,1,1.5,1,1.5,1
Bharat Forge Limited,Bharat Forge Baramati,NEEM,SRP,1,1.5,1,1.5,1
Bharat Forge Limited,Bharat Forge Baramati,NEEM,SRP,1,1.5,1,1.5,1
Bharat Forge Limited,Bharat Forge Baramati,NEEM,SRP,1,1.5,1,1.5,1
Bharat Forge Limited,Bharat Forge Baramati,NEEM,SRP,1,1.5,1,1.5,1
BHARAT FORGE LTD,BFL EL,EL,SRP,1,1.5,1.5,1.5,1
BHARAT FORGE LTD,BFL Pune NEEM,EL,SRP,1,1.5,1.5,1.5,1
BHARAT FORGE LTD,BFL EL,NEEM,SRP,1,1.5,1.5,1.5,1
BHARAT FORGE LTD.,BFL Pune NEEM,NEEM,SRP,1,1.5,1.5,1.5,1
Bhavani Industries,Bhavani,NEEM,Franchisee,1,1,1,1,1
Bilz Tool Private Limited,Bilz Tool,NEEM,Franchisee,1.5,1,1,1,1
Bosch Automotive Electronics India Pvt. Ltd,Bosch Banglore,NEEM,Franchisee,1,1,1,1,1
Bosch Chassis System India Private Limited,Bosch Pune,NEEM,OP,1,1,1,1,1
Bosch Limited,Bosch Adugudi & Bidadi,NEEM,OP,1,1,1,1,1
Brainbees Solutions Pvt Ltd,Brainbees,NEEM,SP,1.5,1,1,1,1.5
Brakes India Pvt Ltd,Brakes,NEEM,SRP,1.5,1.5,1,1,1
Britannia Industries Limited,Britannia,NEEM,Franchisee,1,1,1,1,1
Cargill India Pvt Ltd,Cargill.,NEEM,Franchisee,1.5,1,1,1,1
Carlsberg India Pvt. Ltd.,Carlberg,NEEM,op,1,1,1,1,1
CARRARO INDIA PVT LTD,Carraro,NEEM,SRP,1,1.5,1,1,1
Cataler India Auto Parts Pvt Ltd,Cataler India,NEEM,Franchisee,1,1,1,1,1
Ceratizit Bengaluru Private Limited,Ceratizit,NEEM,Franchisee,1,1,1,1,1
Clover Forging & Machining Pvt Ltd,Clover,EL,SRP,1.5,1.5,1,1,1
Clover Forging & Machining Pvt Ltd.,Clover NEEM,NEEM,SRP,1.5,1.5,1,1,1
Cogeme Precision Parts (I) India Pvt Ltd,Cogeme,NEEM,op,1.5,1,1,1,1
Connectwell Industries Pvt Ltd,Connectwell,NEEM,SRP,1,1.5,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara M61,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara K11,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara K10,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara L 3,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara E 1,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara ZSE,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd,Cooper Satara J 2,NEEM,SRP,1,1,1,1,1.5
Cooper Corporation Pvt Ltd.,Cooper Satara M60,NEEM,SRP,1,1,1,1,1.5
Cooper Standard Automotive India Pvt Ltd,Cooper,NEEM,SRP,1.5,1.5,1,1.5,1.5
Cummins India Limited ,Cummins IPDC,NEEM,SRP,1,1,1,1,1
Cummins India Limited -SEZ Unit,Cummins PGBU,NEEM,SRP,1,1,1,1,1
Cummins technologies Ind Pvt  Limited SEZ Unit,Cummins PHP,NEEM,SRP,1,1,1,1,1
Cummins Technologies India Pvt. Ltd. (Recon DTA)  ,Cummins Recon,NEEM,SRP,1,1,1,1,1
Cummnins HHP,Cummins HHP,NEEM,SRP,1,1,1,1,1
Datacorp Traffic Private Limited,Datacorp Madurai,NEEM,OP,1,1,1,1,1
DataCorp Traffic Private Limited (B),Datacorp Banglore,NEEM,op,1,1,1,1,1
DataCorp Traffic Private Limited (D),Datacorp Dharmapuri,NEEM,op,1,1,1,1,1
DATACORP TRAFFIC PRIVATE LIMITED (G),Datacorp Gurgaon,NEEM,op,1,1,1,1,1
Delfingen India Pvt Ltd,Delfingen,NEEM,SRP,1,1.5,1,1,1
Digital Age Retail Pvt Ltd,Digital Age,NEEM,SRP,1.5,1,1,1,1.5
DRI India Relays Private Limited,DRI India,NEEM,Franchisee,1,1,1,1,1
Duroshox Pvt Ltd,Duroshox,NEEM,SRP,1.5,1.5,1,1.5,1.5
Durovalves India Pvt Ltd,Durovalves,NEEM,SRP,1.5,1,1,1.5,1
Dynamatic Technologies Limited.,Dynamatic Aerospace,NEEM,Franchisee,1.5,1,1,1,1
Emerson Process Management (India) PVT. LTD,Emerson,EL,SRP,1,1.5,1.5,1.5,1
Encube Ethicals Pvt Ltd,Encube,EL,SRP,1,1.5,1,1,1
Eximius Infra Tech Solutions LLP.Unit 8-P,Eximius Infratech,NEEM,SRP,1.5,1.5,1,1,1
Fairfield Atlas Limited,Fairfield,NEEM,SRP,1.5,1.5,1,1.5,1
Fairfield Atlas Limited,Fairfield,NEEM,SRP,1.5,1.5,1,1.5,1
Fenace Auto Limited,Fenace Auto,NEEM,SRP,1.5,1.5,1,1.5,1.5
Fleetguard Filters Private Limited,Fleetguard,NEEM,Franchisee,1,1,1,1,1
FRISTAM PUMPS (I) PVT. LTD.,Fristam Pumps,NEEM,SRP,1,1.5,1,1,1.5
Gabriel India Limited,Gabriel EL,EL,SRP,1.5,1.5,1,1.5,1
Gabriel India Limited -,Gabriel NEEM Main Plant,NEEM,SRP,1.5,1.5,1,1,1
Gabriel India Limited.,Gabriel NEEM,NEEM,SRP,1.5,1.5,1,1,1
Garware Technical Fibres Limited,Garware Wai,NEEM,SRP,1.5,1.5,1,1.5,1.5
Gestamp automotive India Pvt Ltd,Gestamp,NEEM,SRP,1.5,1,1,1.5,1.5
Grupo Antolin India Private Limited,Grupo,NEEM,SRP,1.5,1.5,1,1.5,1
Hager Electro Private Limited Plant 2,Hager Plant 2,NEEM,SRP,1,1.5,1,1,1
Haier Appliance India Pvt Ltd,Haier,NEEM,SRP,1,1.5,1,1,1.5
Harman International India Pvt Ltd,Harman,EL,SRP,1,1.5,1,1,1
Harman International India Pvt Ltd.,Harman NEEM,NEEM,SRP,1,1.5,1,1,1
Herman Miller Furniture (India) Pvt Ltd,Herman Miller,NEEM,Franchisee,1,1,1,1,1
Hical Technologies Pvt. Ltd,Hical EC3,NEEM,Franchisee,1.5,1,1,1,1
Hical Technologies Pvt. Ltd.,Hical E1,NEEM,Franchisee,1.5,1,1,1,1
Hyundai Construction Equipment India Ltd,Hyundai EL,EL,SRP,1,1.5,1.5,1.5,1
HYUNDAI STEEL PIPE INDIA PRIVATE LIMITED,Hyundai Steel,NEEM,OP,1,1,1,1,1
IFB Industrial Ltd,IFB,NEEM,SRP,1,1,1,1,1
IMPRESS CONTAINERS COMPANY,Impress,NEEM,SRP,1,1.5,1,1,1.5
India Kawasaki Motors Pvt. Ltd.,India Kawasaki,NEEM,SRP,1.5,1.5,1,1,1.5
Indiana Gratings Pvt Ltd,Indiana,NEEM,op,1.5,1,1,1,1
Indo Schottle Auto Parts pvt Ltd,Indo SEZ,NEEM,SRP,1,1.5,1,1,1
"Indo Schottle Auto Parts pvt Ltd,",Indo Honga,NEEM,SRP,1,1.5,1,1,1
"Indo Schottle Auto Parts pvt Ltd,",Indo Honga,NEEM,SRP,1,1.5,1,1,1
Interflex Electronics India Private Limited,Interflex,NEEM,Franchisee,1,1,1,1,1
ITC Food Limited,ITC,NEEM,SRP,1,1.5,1,1,1
ITC FOOD PVT LTD .,ITC Uluberia,NEEM,SRP,1,1.5,1,1,1.5
ITC Limited,ITC Kolkata,NEEM,SRP,1,1.5,1,1,1.5
Jabil Circuit India Pvt Ltd,Jabil,NEEM,SRP,1,1,1,1,1
Jabil Circuit India Pvt Ltd,Jabil,NEEM,SRP,1,1,1,1,1
Jayashree Electro Devices Pvt Ltd,Jayshree Eletrodevices,NEEM,SRP,1.5,1.5,1,1,1.5
Jayashree Encoders Pvt Ltd,Jayshree Encoders,NEEM,SRP,1.5,1.5,1,1,1.5
Jayshree Electron Pvt Ltd,Jayshree Electron,NEEM,SRP,1.5,1.5,1,1,1.5
JK Precision And Tools,JK Precision,NEEM,Bridge 1,1,1,1,1,1
Kemwell Biopharm Pvt Ltd,Kemwell,NEEM,Franchisee,1,1,1,1,1
Kern-Liebers( India) Pvt Ltd,Kern Lieber,NEEM,SRP,1,1.5,1,1.5,1
Kingfa Science & Technology (India) Limited,Kingfa Chakan,NEEM,SRP,1.5,1.5,1,1,1
Kingfa Science & Technology(India) Ltd,Kingfa,NEEM,SRP,1.5,1.5,1,1,1
Kirloskar Ferrous Industries Ltd.,KFIL NEEM,NEEM,SRP,1,1.5,1,1.5,1
Kirloskar Ferrous Industries Ltd.,KFIL NEEM,NEEM,SRP,1,1.5,1,1.5,1
Konecranes and Demag Private Limited,Konecranes,NEEM,SRP,1.5,1.5,1,1,1.5
Kosei Minda Alumiun Company Pvt Ltd,Kosei Minda,NEEM,SRP,1.5,1,1,1,1
KSPG Automotive India Private Ltd. - Division Bearings,KSPG Supa,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Private Ltd. - Division Bearings,KSPG Supa,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG Mechatronics,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG Mechatronics,NEEM,SRP,1.5,1.5,1,1,1
LEONI Cable Solutions (India) PVT LTD,Leoni Cables,NEEM,SRP,1.5,1.5,1,1,1
LEONI Wiring Systems (Pune) Pvt Ltd,Leoni Wiring,NEEM,SP,1.5,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
Lumax Auto Technologies Ltd,Lumax Kolar,NEEM,SRP,1.5,1.5,1,1,1
Lumax Auto Technologies Ltd,Lumax Kolar,NEEM,SRP,1.5,1.5,1,1,1
Lumax Auto Technologies Ltd,Lumax Kolar,NEEM,SRP,1.5,1.5,1,1,1
Lumax Industries Ltd,Lumax Bidadi,NEEM,SRP,1.5,1.5,1,1,1
Lumiere Coolants Ltd,Lumiere,NEEM,SRP,1.5,1,1,1,1
M/S. Schneider Electric India Pvt Limited,Schneider Chennai,NEEM,Bridge 1,1,1,1,1,1
M/S. Schneider Electric India Pvt Limited,Schneider Chennai,NEEM,Bridge 1,1,1,1,1,1
Magellan Aerospace (India) Private Limited,Magellan,NEEM,Franchisee,1,1,1,1,1
Magneti Marelli Motherson Auto Systems Limited,MMM NEEM,NEEM,SRP,1.5,1.5,1,1.5,1
Mahindra CIE Automotive Limited (Gears Division),Mahindra CIE Rajkot,NEEM,SRP,1,1.5,1,1.5,1.5
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd.,MHL Bhosari,NEEM,SRP,1,1.5,1,1.5,1
MAHINDRA CIE Automotive Ltd.,MHL Bhosari,NEEM,SRP,1,1.5,1,1.5,1
Mahindra CIE Automotive Ltd. (Gear Division Pune),Mahindra Gear,NEEM,SRP,1,1.5,1,1.5,1
Mahindra CIE Automotive Ltd. (Gear Division Pune),,NEEM,SRP,1,1.5,1,1.5,1
Mahindra Sanyo Special Steel Pvt. Ltd,MSSL,EL,OP,1.5,1,1,1,1
Mahindra Sanyo Special Steel Pvt. Ltd .,MSSL NEEM,NEEM,OP,1.5,1,1,1,1
Mars International India Pvt. Ltd.,Mars,EL,OP,1,1,1,1,1
Maxion Wheels Aluminum India Private Limited,Maxion,NEEM,SRP,1,1,1,1,1.5
Menon & Menon Limited,Menon EL,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited,Menon NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited,Menon Kagal NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited,Menon NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
